dist_km,soc_pct,net_energy_kwh,phase,cum_used_kwh,cum_charged_kwh,charge_kwh,charge_duration_sec,block_id,mode,stop_code,candidate_name,event_type,start_sec,end_sec
81.0,72.59354256901315,409.42758008923414,charge,130.96607170429016,32.79365179352425,32.79365179352425,540.0,2159699,heavy,61338,Marine Drive Station,in_service_layover,27930.0,28470.0
95.5,69.37990847023282,391.302683772113,drive,149.09096802141124,32.79365179352425,0.0,0.0,2159699,heavy,,,,,
110.5,65.70279684762703,370.5637742206163,drive,169.82987757290795,32.79365179352425,0.0,0.0,2159699,heavy,,,,,
127.0,62.37164458450949,351.77607545663346,drive,188.6175763368908,32.79365179352425,0.0,0.0,2159699,heavy,,,,,
139.5,59.13439196912387,333.51797070585854,drive,206.87568108766573,32.79365179352425,0.0,0.0,2159699,heavy,,,,,
139.5,63.731640883744376,359.44645458431825,charge,206.87568108766573,58.72213567198395,25.9284838784597,360.0,2159699,heavy,61338,Marine Drive Station,in_service_layover,36270.0,36630.0
152.5,60.51800678496405,341.3215582671972,drive,225.00057740478678,58.72213567198395,0.0,0.0,2159699,heavy,,,,,
168.0,56.84089516235825,320.5826487157005,drive,245.73948695628349,58.72213567198395,0.0,0.0,2159699,heavy,,,,,
184.0,53.50974289924072,301.7949499517176,drive,264.52718572026635,58.72213567198395,0.0,0.0,2159699,heavy,,,,,
198.0,50.2724902838551,283.5368452009427,drive,282.78529047104126,58.72213567198395,0.0,0.0,2159699,heavy,,,,,
198.0,52.586524608897754,296.5879987941833,charge,282.78529047104126,71.77328926522455,13.051153593240599,180.0,2159699,heavy,61338,Marine Drive Station,in_service_layover,44490.0,44670.0
212.0,49.37289051011743,278.46310247706225,drive,300.9101867881623,71.77328926522455,0.0,0.0,2159699,heavy,,,,,
228.0,45.695778887511636,257.72419292556555,drive,321.649096339659,71.77328926522455,0.0,0.0,2159699,heavy,,,,,
244.5,42.364626624394106,238.9364941615827,drive,340.4367951036419,71.77328926522455,0.0,0.0,2159699,heavy,,,,,
258.0,39.127374009008484,220.67838941080777,drive,358.6948998544168,71.77328926522455,0.0,0.0,2159699,heavy,,,,,
258.0,46.73127501862362,263.56439110503715,charge,358.6948998544168,114.65929095945393,42.88600169422938,600.0,2159699,heavy,61338,Marine Drive Station,in_service_layover,52950.0,53550.0
274.0,43.51764091984329,245.4394947879161,drive,376.81979617153786,114.65929095945393,0.0,0.0,2159699,heavy,,,,,
290.5,39.840529297237495,224.70058523641939,drive,397.55870572303456,114.65929095945393,0.0,0.0,2159699,heavy,,,,,
308.5,36.509377034119964,205.91288647243653,drive,416.3464044870174,114.65929095945393,0.0,0.0,2159699,heavy,,,,,
324.5,33.272124418734336,187.6547817216616,drive,434.60450923779234,114.65929095945393,0.0,0.0,2159699,heavy,,,,,
324.5,38.54806596724013,217.4110920552343,charge,434.60450923779234,144.4156012930266,29.756310333572685,420.0,2159699,heavy,61338,Marine Drive Station,in_service_layover,62250.0,62670.0
339.5,35.3344318684598,199.28619573811324,drive,452.7294055549134,144.4156012930266,0.0,0.0,2159699,heavy,,,,,
356.0,31.657320245854002,178.54728618661653,drive,473.4683151064101,144.4156012930266,0.0,0.0,2159699,heavy,,,,,
371.5,28.32616798273648,159.75958742263367,drive,492.25601387039296,144.4156012930266,0.0,0.0,2159699,heavy,,,,,
384.5,25.08891536735085,141.50148267185875,drive,510.5141186211679,144.4156012930266,0.0,0.0,2159699,heavy,,,,,
388.5,24.541919950718924,138.41642852205462,drive,513.599172770972,144.4156012930266,0.0,0.0,2159699,heavy,,,,,
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159731,heavy,,,,,
14.5,86.08409292968145,485.51428412340334,drive,22.0857158765967,0.0,0.0,0.0,2159731,heavy,,,,,
31.0,81.41660543620799,459.189654660213,drive,48.41034533978697,0.0,0.0,0.0,2159731,heavy,,,,,
38.5,79.32404234145913,447.3875988058295,drive,60.21240119417055,0.0,0.0,0.0,2159731,heavy,,,,,
